id,front,back,comment
,olen,olla,(ich) bin,"[olla] 1. Pers. Sg. von olla (sein)"
,naimisissa,verheiratet,Inessiv Plural (feste Form)
,G + kanssa,mit (jemandem),"Phrase, G = Genitiv (z.B. Veijon kanssa)"
,suomalainen,,Finne / finnisch,
,rakastan,(ich) liebe,"[rakastaa + P] 1. Pers. Sg., Tyyppi 1, + Partitiv (P)"
,häntä,ihn / sie,[hän] Partitiv von hän
,meillä on,wir haben,Phrase (Adessiv + on)
,lapsi,Kind,"[lapsi, lapsen]"
,hän,er / sie,
,söpö,süß,
,-vuotias,Jahre alt,Suffix (z.B. 4-vuotias)
,tyttö,Mädchen,
,hänen,sein / ihr (Besitz),"[hän] Genitiv von hän"
